Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?,ExpID,__block__,RunOrder
LSTM,40,3.0,75,120,150,32-96:32,512,OK,E175,40|3.0|LSTM,213
LSTM,40,3.0,75,120,150,64-256:64,2048,OK,E180,40|3.0|LSTM,214
LSTM,40,3.0,75,60,150,64-256:64,1024,OK,E161,40|3.0|LSTM,215
LSTM,40,3.0,75,60,20,16-64:16,512,OK,E145,40|3.0|LSTM,216
GRU,40,5.0,125,60,20,16-64:16,512,OK,E037,40|5.0|GRU,217
GRU,40,5.0,125,60,150,16-64:16,512,OK,E046,40|5.0|GRU,218
GRU,40,5.0,125,60,20,64-256:64,1024,OK,E044,40|5.0|GRU,219
GRU,40,5.0,125,60,150,64-256:64,2048,OK,E054,40|5.0|GRU,220
GRU,40,5.0,125,120,150,16-64:16,2048,OK,E066,40|5.0|GRU,221
GRU,40,5.0,125,120,20,64-256:64,2048,OK,E063,40|5.0|GRU,222
GRU,40,5.0,125,120,150,16-64:16,512,OK,E064,40|5.0|GRU,223
GRU,40,5.0,125,120,20,32-96:32,1024,OK,E059,40|5.0|GRU,224
GRU,40,5.0,125,60,150,64-256:64,512,OK,E052,40|5.0|GRU,225
GRU,40,5.0,125,60,150,64-256:64,1024,OK,E053,40|5.0|GRU,226
GRU,40,5.0,125,60,20,16-64:16,2048,OK,E039,40|5.0|GRU,227
GRU,40,5.0,125,120,20,16-64:16,1024,OK,E056,40|5.0|GRU,228
GRU,40,5.0,125,60,150,32-96:32,1024,OK,E050,40|5.0|GRU,229
GRU,40,5.0,125,120,150,32-96:32,1024,OK,E068,40|5.0|GRU,230
GRU,40,5.0,125,120,20,16-64:16,512,OK,E055,40|5.0|GRU,231
GRU,40,5.0,125,60,150,32-96:32,512,OK,E049,40|5.0|GRU,232
GRU,40,5.0,125,60,150,16-64:16,1024,OK,E047,40|5.0|GRU,233
GRU,40,5.0,125,120,150,32-96:32,2048,OK,E069,40|5.0|GRU,234
GRU,40,5.0,125,120,150,64-256:64,512,OK,E070,40|5.0|GRU,235
GRU,40,5.0,125,60,20,64-256:64,512,OK,E043,40|5.0|GRU,236
GRU,40,5.0,125,60,20,32-96:32,2048,OK,E042,40|5.0|GRU,237
GRU,40,5.0,125,120,20,32-96:32,512,OK,E058,40|5.0|GRU,238
GRU,40,5.0,125,120,150,64-256:64,2048,OK,E072,40|5.0|GRU,239
GRU,40,5.0,125,60,20,32-96:32,1024,OK,E041,40|5.0|GRU,240
GRU,40,5.0,125,120,150,32-96:32,512,OK,E067,40|5.0|GRU,241
GRU,40,5.0,125,120,20,64-256:64,512,OK,E061,40|5.0|GRU,242
GRU,40,5.0,125,60,150,32-96:32,2048,OK,E051,40|5.0|GRU,243
GRU,40,5.0,125,120,150,16-64:16,1024,OK,E065,40|5.0|GRU,244
GRU,40,5.0,125,60,20,16-64:16,1024,OK,E038,40|5.0|GRU,245
GRU,40,5.0,125,60,20,32-96:32,512,OK,E040,40|5.0|GRU,246
GRU,40,5.0,125,120,20,32-96:32,2048,OK,E060,40|5.0|GRU,247
GRU,40,5.0,125,60,150,16-64:16,2048,OK,E048,40|5.0|GRU,248
GRU,40,5.0,125,120,150,64-256:64,1024,OK,E071,40|5.0|GRU,249
GRU,40,5.0,125,120,20,16-64:16,2048,OK,E057,40|5.0|GRU,250
GRU,40,5.0,125,120,20,64-256:64,1024,OK,E062,40|5.0|GRU,251
GRU,40,5.0,125,60,20,64-256:64,2048,OK,E045,40|5.0|GRU,252
LSTM,40,5.0,125,120,150,32-96:32,2048,OK,E213,40|5.0|LSTM,253
